No.,Jenis Kelamin,Umur Karyawan,Gaji,Status,Transportasi
1,Laki-Laki,20,"8,000,000",Single,Kendaraan pribadi
2,Laki-Laki,35,"14,000,000",Single,Kendaraan umum
3,Perempuan,26,"10,000,000",Single,Kendaraan umum
4,Perempuan,27,"12,000,000",Menikah,Kendaraan pribadi
5,Laki-Laki,21,"9,000,000",Single,Kendaraan pribadi
6,Laki-Laki,22,"11,000,000",Single,Kendaraan pribadi
7,Perempuan,32,"15,000,000",Menikah,Kendaraan umum
8,Perempuan,26,"8,000,000",Menikah,Kendaraan umum
9,Laki-Laki,25,"9,000,000",Single,Kendaraan umum
10,Perempuan,20,"10,000,000",Single,Kendaraan pribadi
11,Perempuan,27,"12,000,000",Single,?
12,Laki-Laki,35,"14,000,000",Menikah,?
